maladie,orphacode,nb_symptomes,symptomes,source,origine
Alpha-mannosidosis,61,42,Macroglossia | Coarse facial features | Hearing impairment | Cataract | Intellectual disability | Global developmental delay | Splenomegaly | Hepatomegaly | Skeletal dysplasia | Delayed skeletal maturation,https://www.orpha.net/en/disease/detail/61,Orphadata
Cystinosis,213,56,Proteinuria | Nephropathy | Renal tubular dysfunction | Photophobia | Hypothyroidism | Delayed puberty | Muscle weakness | Failure to thrive | Dehydration | Polydipsia,https://www.orpha.net/en/disease/detail/213,Orphadata
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,7,"Full cheeks | Intellectual disability, mild | Hypoglycemia | Hypertriglyceridemia | Immunodeficiency | Myopathy | Short stature",https://www.orpha.net/en/disease/detail/366,Orphadata
Krabbe disease,487,50,Hearing impairment | Sensorineural hearing impairment | Visual impairment | Atypical behavior | Sensory neuropathy | Abnormal thumb morphology | Ataxia | Spasticity | Global developmental delay | Abnormality of metabolism/homeostasis,https://www.orpha.net/en/disease/detail/487,Orphadata
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,6,Muscle weakness | Anemia | Hyperuricemia | Myotonia | Skeletal muscle atrophy | Increased muscle glycogen content,https://www.orpha.net/en/disease/detail/371,Orphadata
Mucopolysaccharidosis type 6,583,27,Abnormal cardiovascular system morphology | Thick lower lip vermilion | Sinusitis | Coarse facial features | Chronic otitis media | Abnormal metaphysis morphology | Joint stiffness | Failure to thrive | Epiphyseal dysplasia | Recurrent upper respiratory tract infections,https://www.orpha.net/en/disease/detail/583,Orphadata
Sialidosis type 1,812,42,Thick lower lip vermilion | Coarse facial features | Sensorineural hearing impairment | Wide nasal bridge | Retinopathy | Visual impairment | Cataract | Progressive visual loss | Nystagmus | Decreased nerve conduction velocity,https://www.orpha.net/en/disease/detail/812,Orphadata
Mucolipidosis type III,577,36,Genu valgum | Hyperlordosis | Corneal opacity | Prominent occiput | Visual impairment | Joint stiffness | Deficiency of N-acetylglucosamine-1-phosphotransferase | Abnormality of the hip bone | Abnormal form of the vertebral bodies | Short stature,https://www.orpha.net/en/disease/detail/577,Orphadata
Sandhoff disease,796,19,Macrocephaly | Full cheeks | Hearing impairment | Blindness | Seizure | Ataxia | Muscle weakness | Failure to thrive | Congestive heart failure | Splenomegaly,https://www.orpha.net/en/disease/detail/796,Orphadata
Mucopolysaccharidosis type 7,584,26,Inguinal hernia | Coarse facial features | Short neck | Lymphedema | Intellectual disability | Hypotonia | Joint stiffness | Umbilical hernia | Ascites | Splenomegaly,https://www.orpha.net/en/disease/detail/584,Orphadata
Beta-thalassemia,848,21,Abnormality of the skeletal system | Pallor | Splenomegaly | Anemia | Microcytic anemia | Abnormal hemoglobin | Hypogonadotropic hypogonadism | Irritability | Abnormal skull morphology | Muscle weakness,https://www.orpha.net/en/disease/detail/848,Orphadata
Facioscapulohumeral dystrophy,269,37,Mask-like facies | Skeletal muscle atrophy | Elevated circulating creatine kinase concentration | Hyperlordosis | Progressive muscle weakness | Scapular winging | Sensorineural hearing impairment | Keratitis | Conjunctivitis | Pectus excavatum,https://www.orpha.net/en/disease/detail/269,Orphadata
