code,pays,annee,valeur,sexe,origine
LEADCONTROL,BGD,2018,,,OMS/WHO Stats
LEADCONTROL,LUX,2008,,,OMS/WHO Stats
LEADCONTROL,TKM,2024,,,OMS/WHO Stats
LEADCONTROL,MLT,2008,,,OMS/WHO Stats
LEADCONTROL,ISR,2019,,,OMS/WHO Stats
LEADCONTROL,EGY,2022,,,OMS/WHO Stats
LEADCONTROL,MMR,2024,,,OMS/WHO Stats
LEADCONTROL,RUS,2010,,,OMS/WHO Stats
LEADCONTROL,DEU,2008,,,OMS/WHO Stats
LEADCONTROL,MAR,2021,,,OMS/WHO Stats
LEADCONTROL,IRQ,2011,,,OMS/WHO Stats
LEADCONTROL,VEN,2024,,,OMS/WHO Stats
LEADCONTROL,BEL,2008,,,OMS/WHO Stats
LEADCONTROL,YEM,2024,,,OMS/WHO Stats
LEADCONTROL,BOL,2024,,,OMS/WHO Stats
LEADCONTROL,COG,2024,,,OMS/WHO Stats
LEADCONTROL,CHL,1997,,,OMS/WHO Stats
LEADCONTROL,COM,2024,,,OMS/WHO Stats
LEADCONTROL,PNG,2024,,,OMS/WHO Stats
LEADCONTROL,AUS,2008,,,OMS/WHO Stats
LEADCONTROL,BLZ,2024,,,OMS/WHO Stats
LEADCONTROL,GNB,2024,,,OMS/WHO Stats
LEADCONTROL,ZAF,2009,,,OMS/WHO Stats
LEADCONTROL,STP,2024,,,OMS/WHO Stats
LEADCONTROL,NER,2024,,,OMS/WHO Stats
LEADCONTROL,MKD,2014,,,OMS/WHO Stats
LEADCONTROL,AUT,2008,,,OMS/WHO Stats
LEADCONTROL,SYR,2024,,,OMS/WHO Stats
LEADCONTROL,CHN,2020,,,OMS/WHO Stats
LEADCONTROL,DMA,2007,,,OMS/WHO Stats
ORALHEALTH_AVAILABILITY_URGENTCARE,BRB,2021,,,OMS/WHO Stats
ORALHEALTH_AVAILABILITY_URGENTCARE,LVA,2021,,,OMS/WHO Stats
ORALHEALTH_AVAILABILITY_URGENTCARE,TTO,2021,,,OMS/WHO Stats
ORALHEALTH_AVAILABILITY_URGENTCARE,BIH,2021,,,OMS/WHO Stats
