maladie,orphacode,nb_symptomes,symptomes,source,origine
Alpha-mannosidosis,61,43,Macroglossia | Coarse facial features | Hearing impairment | Cataract | Intellectual disability | Global developmental delay | Splenomegaly | Hepatomegaly | Skeletal dysplasia | Delayed skeletal maturation,https://www.orpha.net/en/disease/detail/61,Orphadata
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,7,"Full cheeks | Intellectual disability, mild | Hypoglycemia | Hypertriglyceridemia | Immunodeficiency | Myopathy | Short stature",https://www.orpha.net/en/disease/detail/366,Orphadata
Krabbe disease,487,50,Hearing impairment | Sensorineural hearing impairment | Visual impairment | Atypical behavior | Sensory neuropathy | Abnormal thumb morphology | Ataxia | Spasticity | Global developmental delay | Abnormality of metabolism/homeostasis,https://www.orpha.net/en/disease/detail/487,Orphadata
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,6,Muscle weakness | Anemia | Hyperuricemia | Myotonia | Skeletal muscle atrophy | Increased muscle glycogen content,https://www.orpha.net/en/disease/detail/371,Orphadata
Sialidosis type 1,812,42,Thick lower lip vermilion | Coarse facial features | Sensorineural hearing impairment | Wide nasal bridge | Retinopathy | Visual impairment | Cataract | Progressive visual loss | Nystagmus | Decreased nerve conduction velocity,https://www.orpha.net/en/disease/detail/812,Orphadata
Mucolipidosis type III,577,36,Waddling gait | Reduced bone mineral density | Fatigue | Genu valgum | Hyperlordosis | Corneal opacity | Prominent occiput | Visual impairment | Joint stiffness | Deficiency of N-acetylglucosamine-1-phosphotransferase,https://www.orpha.net/en/disease/detail/577,Orphadata
Sandhoff disease,796,19,Macrocephaly | Full cheeks | Hearing impairment | Blindness | Seizure | Ataxia | Muscle weakness | Failure to thrive | Congestive heart failure | Splenomegaly,https://www.orpha.net/en/disease/detail/796,Orphadata
Mucopolysaccharidosis type 7,584,26,Inguinal hernia | Coarse facial features | Short neck | Lymphedema | Intellectual disability | Hypotonia | Joint stiffness | Umbilical hernia | Ascites | Splenomegaly,https://www.orpha.net/en/disease/detail/584,Orphadata
Beta-thalassemia,848,21,Abnormality of the skeletal system | Pallor | Splenomegaly | Anemia | Microcytic anemia | Abnormal hemoglobin | Hypogonadotropic hypogonadism | Irritability | Abnormal skull morphology | Muscle weakness,https://www.orpha.net/en/disease/detail/848,Orphadata
Facioscapulohumeral dystrophy,269,37,Mask-like facies | Skeletal muscle atrophy | Elevated circulating creatine kinase concentration | Hyperlordosis | Progressive muscle weakness | Scapular winging | Sensorineural hearing impairment | Keratitis | Conjunctivitis | Pectus excavatum,https://www.orpha.net/en/disease/detail/269,Orphadata
Emery-Dreifuss muscular dystrophy,261,44,Pectus excavatum | Reduced tendon reflexes | Joint stiffness | Myotonia | Myopathy | Elevated circulating creatine kinase concentration | Limb-girdle muscular dystrophy | Sprengel anomaly | Gait disturbance | Achilles tendon contracture,https://www.orpha.net/en/disease/detail/261,Orphadata
Thomsen and Becker disease,614,15,Myotonia | EMG abnormality | Muscle stiffness | Myotonia with warm-up phenomenon | EMG: myotonic discharges | Myalgia | Skeletal muscle hypertrophy | Clumsiness | Muscle spasm | EMG: myopathic abnormalities,https://www.orpha.net/en/disease/detail/614,Orphadata
MERRF,551,11,Sensorineural hearing impairment | Optic atrophy | Multiple lipomas | Ataxia | Generalized myoclonic seizure | Myopathy | Ragged-red muscle fibers | EMG abnormality | Short stature | Abnormality of movement,https://www.orpha.net/en/disease/detail/551,Orphadata
Central core disease,597,25,Joint hypermobility | Hypotonia | Motor delay | Congenital hip dislocation | Mitral valve prolapse | Talipes equinovarus | Pes planus | Malignant hyperthermia | Kyphoscoliosis | Multiple joint contractures,https://www.orpha.net/en/disease/detail/597,Orphadata
